ps_number,part_name,part_type,manufacturer_part_number,part_manufacturer,part_price,part_description,install_difficulty,install_time,install_video_url,part_url,average_rating,num_reviews,appliance_type,brand,manufactured_for,availability,replaces_parts
PS16556076,Refrigerator Water Filter 11034152,Filter,11034152,Bosch,68.3400,This genuine Bosch water filter is used to help reduce contaminants in the water supply including chlorine and lead. The water filter measures approximately 2 inches in diameter and is 9 inches long. It is recommended by the manufacturer to replace the water filter every 6 months for best performance.,Very Easy,Less than 15 mins,,https://www.partselect.com/PS16556076-Bosch-11034152-Refrigerator-Water-Filter.htm?SourceCode=18,3,1,refrigerator,Bosch,"Thermador, Bosch, Gaggenau",In Stock,"00499850, 00641425, 00644845, 00649379, 00713913, 00740560, 00740570, 00740574, 00741509, 11028820, 11028821, 11034151, 17005585, 499850, 641425, 644845, 649379, 713913, 740560, 740570 ... Show more"
PS16221878,WATER FILTER 11032531,Filter,11032531,Bosch,69.6700,"The Bosch UltraClarityPro™ Refrigerator Water Filter (part number 11032531) is a genuine OEM replacement cartridge designed to deliver high-performance filtration for select Bosch, Thermador, and Gaggenau refrigerator models. Utilizing advanced filtration technology, this filter effectively reduces chlorine, sediment, and other impurities, improving the taste and clarity of both water and ice. It helps maintain optimal refrigerator performance by preventing mineral buildup and ice blockages within the water system. Installation is straightforward: locate the filter compartment inside the refrigerator, twist and remove the old filter, align the new filter with the connector, and twist it into place until secure. Once installed, flush the system by running water through the dispenser for several minutes to clear any air and activate the filter. Always verify compatibility with your refrigerator model before purchase, as this filter also replaces part numbers BORPLFTR55 and REPLFLTR55.",,,,https://www.partselect.com/PS16221878-Bosch-11032531-WATER-FILTER.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,"11025825, 12028325, 12033030, 12036454, 17005582"
PS12075548,TRAY 12017983,Tray or Shelf,12017983,Bosch,26.3800,"This refrigerator ice tray is a genuine replacement part designed for use in the ice maker system. It functions by freezing water into uniform ice cubes for easy removal and dispensing. Ideal for replacing a worn or damaged tray, this component helps maintain consistent ice production and ensures smooth operation of the ice maker. Installation is simple—remove the old tray and position the new one securely in place.",Easy,15 - 30 mins,,https://www.partselect.com/PS12075548-Bosch-12017983-TRAY.htm?SourceCode=18,5,1,refrigerator,Bosch,Bosch,In Stock,
PS8728848,CLIP 00623317,Hardware,00623317,Bosch,6.9600,,,,,https://www.partselect.com/PS8728848-Bosch-00623317-CLIP.htm?SourceCode=18,,,refrigerator,Bosch,"Gaggenau, Thermador, Bosch",In Stock,"AP5323196, 00604666, 604666, 623317"
PS12724319,DRAWER 11030666,Drawer or Glides,11030666,Bosch,168.9700,"Enhance your appliance performance with this genuine Bosch DRAWER, suitable for select models of Bosch, Thermador, and Gaggenau. Crafted with care for perfect fit and peak functionality, it is designed to meet the highest standards set by the manufacturer. Please ensure to verify the accuracy of your part number with your model before ordering. While parts may bear a close resemblance, the dimensions and form can have minor discrepancies. Enrich your maintenance routine with the unrivalled quality and reliability of this Bosch DRAWER.",,,,https://www.partselect.com/PS12724319-Bosch-11030666-DRAWER.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,
PS9492801,SEAL-DOOR 00713448,Seal or Gasket,00713448,Bosch,297.1200,"This door seal, also known as a door gasket, is a flexible strip made of rubber that acts as a seal between the refrigerator door and frame. This door seal is used in two-door fridges and therefore one door seal is required for each door. The seal prevents cold air from escaping and warm air from entering the refrigerator, to maintain a consistent temperature inside. The seal is located around the perimeter of the refrigerator door. Over time, the door seal can wear out, become cracked, or lose its elasticity. A faulty door seal will lead to increased energy consumption, inconsistent temperatures, and potential spoilage of food. To replace the door seal, simply peel off the old seal, and clean the sealing area. Align the new seal along the door perimeter and press it firmly into place to create a tight seal. Each order only comes with one door seal, therefore if both of your door gaskets are faulty, you will need to order two of these.",Really Easy,1- 2 hours,,https://www.partselect.com/PS9492801-Bosch-00713448-SEAL-DOOR.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,"AP5806446, 713448"
PS12729559,TRAY 11030672,Tray or Shelf,11030672,Bosch,40.3300,"This Refrigerator Door Tray is a genuine OEM replacement for Bosch appliances, designed to provide organized storage within the refrigerator door. Made from durable, clear plastic, it maintains the appliance’s functionality and sleek appearance while securely holding food items. Compatible with various Bosch, Thermador, and Gaggenau models, this tray installs easily for a quick restoration of convenience and performance.",,,,https://www.partselect.com/PS12729559-Bosch-11030672-TRAY.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,
PS12729558,TRAY 11030671,Tray or Shelf,11030671,Bosch,46.6300,"Introducing the genuine TRAY from Bosch, a sought-after component expertly designed for Bosch, Thermador, and Gaggenau models. This is an authentic OEM part optimized to maintain the superior performance of your appliances. Please ensure this component matches your model's requirements precisely; although parts may seem identical, minor differences in size or shape may exist. This TRAY is positioned to help your appliances function seamlessly, underscoring Bosch's commitment to delivering top-notch quality and durability. Remember, using genuine Bosch parts like this TRAY in your equipment maintains its efficiency and longevity. Upgrade your appliance with this part and elevate your day-to-day living standards.",,,,https://www.partselect.com/PS12729558-Bosch-11030671-TRAY.htm?SourceCode=18,,,refrigerator,Bosch,Bosch,In Stock,
PS8733251,TRAY 00671179,Tray or Shelf,00671179,Bosch,69.0300,"This refrigerator door shelf bin is a genuine OEM replacement part designed to enhance storage and organization within the appliance. Made from clear, durable plastic—often with a white top edge—it provides a convenient space for storing bottles, cans, and other small items. The bin is engineered to fit specific refrigerator models and helps maximize usable space while keeping frequently accessed items within easy reach. Always verify compatibility with your appliance model before purchasing, as appearance and fit may vary slightly.",,,,https://www.partselect.com/PS8733251-Bosch-00671179-TRAY.htm?SourceCode=18,5,1,refrigerator,Bosch,Bosch,In Stock,"AP4481391, 00672972, 671179, 672972"
PS12741969,FIXTURE 10012733,Refrigerator,10012733,Bosch,13.8600,,,,,https://www.partselect.com/PS12741969-Bosch-10012733-FIXTURE.htm?SourceCode=18,1,1,refrigerator,Bosch,Bosch,In Stock,
