appliance_type,symptom,part_type,instructions,part_category_url
refrigerator,Noisy,Condenser Fan Motor,"Most modern frost-free refrigerators will have a fan cooled condenser coil. The condenser fan circulates air through the condenser coil to remove heat as well as circulating air over the drain pan to evaporate the defrost water. If your fridge is making a loud noise, the condenser fan motor could be to blame. The condenser fan motor runs at the same time as the evaporator motor and the compressor. In addition to noise, your fridge might not be staying as cool as normal and/or may be turning on and off regularly.

How to inspect a refrigerator condenser fan motor:

- Disconnect your refrigerator from the power source and then remove the rear access panel. 

- Locate the condenser fan motor, it is usually found near the compressor at the bottom rear of the refrigerator.

- Visually inspect the condenser fan motor for any signs of wear or damage. Look for any debris or obstructions that could be preventing the fan from moving freely.

- If the fan motor is seized or worn, you will need a replacement condenser fan motor.",https://www.partselect.com/Repair/Refrigerator/Noisy/#CondenserFan
refrigerator,Noisy,Evaporator Fan Motor,"The evaporator fan motor is responsible for pulling air over the evaporator coils when the compressor is running. If your refrigerator is making a loud noise that appears to be coming from the freezer area, a faulty evaporator fan motor could be to blame. You may also notice that your refrigerator is not staying as cold as normal, or your ice is taking longer to freeze.

How to inspect a refrigerator evaporator fan motor:

- After unplugging your refrigerator, remove the evaporator fan cover. The evaporator fan cover is located inside the unit in the freezer compartment.

- Inspect the evaporator motor for any signs of wear or damage. If there is a significant amount of ice on the motor, defrost your freezer and see if that resolves the issue.

- Attempt to manually turn the motor shaft, it should turn freely with minimal resistance.

- If you cannot turn it easily, or if it is noticeably worn, you need a replacement evaporator fan motor.",https://www.partselect.com/Repair/Refrigerator/Noisy/#EvaporatorFan
refrigerator,Noisy,Evaporator Fan Motor Grommet,"The evaporator fan motor grommet is used to isolate the motor from the mounting bracket and reduce vibration noise. Regular wear and tear can cause the grommets to wear or become detached, which can increase vibration and cause excess noise.

How to check a refrigerator’s evaporator fan motor grommets:

- Unplug your refrigerator.

- Remove the evaporator fan cover, which will be found inside the freezer compartment.

- Inspect the grommet to see if it has fallen off, or it if is showing signs of wear or damage..

- If any of the above are true, you will need a replacement evaporator fan motor grommet.",https://www.partselect.com/Repair/Refrigerator/Noisy/#EvaporatorFanMotor
refrigerator,Leaking,Door Gaskets Or Seals,"Door gaskets or seals are found along the outside of the refrigerator’s doors. They are normally made from a vinyl material and will typically have a flexible magnetic strip inside to adhere to the cabinet when the door is closed to create an airtight seal. If there is moisture along the edge of the door then inspect the gaskets for distortion or damage. Air leakage through a defective gasket will create excessive moisture in the refrigerator, possibly resulting in defrost issues and potential water leaks.

How to inspect refrigerator door gaskets or seals:

- After unplugging your refrigerator, open the fridge and freezer doors to inspect the door gaskets or seals.

- You are looking for any discoloration, mold, wear, missing pieces, or anything else that may prevent a proper seal.

- If you find any of the above, you will need replacement gaskets or seals.",https://www.partselect.com/Repair/Refrigerator/Leaking/#DoorGasketsOr
refrigerator,Leaking,Water Inlet Valve,"The water inlet valve is a solenoid-operated device that connects your household water supply line to your refrigerator if you have an ice maker or water dispenser. When activated, it diverts water from the supply line to the dispenser or to fill your ice maker.

How to check the water inlet valve in a refrigerator with a multi-meter:

- Unplug your refrigerator, disconnect the water supply and locate your water inlet valve. It is usually on the rear of the fridge, near the bottom. You will need to remove the rear panel to access it.

- Inspect the valve inlet supply connections for leaks and tighten or replace the connectors. You should also inspect the valve body for any cracks or damage. Check the outlet tubing for cracks or abrasions that may also create a leak and replace any cracked or brittle tubing and connectors.

- If none of the above appear to be the cause of the leak, remove the water inlet valve from the unit.

- Using a multi-meter on the Rx1 setting, test your valve for conitniuty by placing the probes on the valve’s terminals. You should receive a reading of 200 to 500 ohms.

- If you receive any other reading, you need a replacement water inlet valve.",https://www.partselect.com/Repair/Refrigerator/Leaking/#WaterInlet
refrigerator,Leaking,Ice Maker Assembly,"If your fridge is leaking water from in or around the ice maker, you’re probably also experiencing problems with the ice distribution itself. The cubes may be too small, one solid block of ice or not being produced at all. Inspect the ice maker mold to see if there are ice cubes present. If there are no cubes or very small cubes, then you should look for issues with the water fill system.

How to inspect a refrigerator’s ice maker assembly:

- Disconnect your appliance from both the power source and water source.

- Inspect the fill tube and the fill cup area at the back of the icemaker to make sure that they are not frozen. If there is an ice buildup in that area, confirm no foreign objects have disrupted the flow of water into the fill cup.

- Inspect the outlet tubing from the fill valve to the ice maker fill tube for any signs of restrictions.

- If any issues are found while performing the checks above, you will may a replacement ice maker assembly. If nothing obvious has caused the ice buildup, then suspect the inlet valve or tubing.",https://www.partselect.com/Repair/Refrigerator/Leaking/#IceMaker
refrigerator,Will not start,Overload Or Relay-Start Capacitor,"The overload relay is a protection device used in the compressor circuit on your refrigerator. Power is applied to the compressor motor windings through the overload device, and the relay is used to add the start winding in the circuit until the compressor is at running speed. If the fans are running and your compressor won’t start or if you hear a clicking sound from the unit, check the overload relay for signs of overheating or arcing.

How to test a refrigerator’s overload or relay-start capacitor with a multi-meter:

- Begin by ensuring you have unplugged your refrigerator, and then remove the rear panel.

- Locate and remove your overload or relay-start capacitor. On modern refrigerators the overload relay is usually a combined part and plugs directly onto the side of the compressor. There may also be a start capacitor attached to the relay overload assembly, which provides increased starting voltage to the compressor windings.

- To test, begin by discharging the capacitor, then set your multi-meter to the Rx1 setting and place the probes onto the terminals of the overload capacitor and/or the relay-start capacitor. The reading you should receive will vary from model to model, and may be indicated on the outside of the capacitor, or in your owner’s manual. 

- If your test does not produce the reading the manufacturer recommends, you need a replacement overload or relay-start capacitor. If your tests do produce the recommended readings you may have a defective compressor, which will need to be tested by a qualified professional as it is a live circuit test.",https://www.partselect.com/Repair/Refrigerator/Will-Not-Start/#OverloadOrRelay-Start
refrigerator,Will not start,Cold Control & Temperature Control,"The cold control is a temperature-controlled switch that supplies power to the compressor and fan circuits in the refrigerator. If your refrigerator won’t start and no fans are running, then you may have a defective control.

How to test your fridge’s cold control & temperature control with a multi-meter:

- After disconnecting your appliance from the power source, open your refrigerator door and locate the control. It will be located behind the temperature adjustment knob and is usually found in the fresh food section control panel.

- Remove the control from the fridge in order to test it.

- Using a multi-meter on the Rx1 setting, set your control to the lowest (warmest) setting, and place the probes on the terminals. You are testing for continuity and you should receive a reading of infinity.

- With the probes still on the terminals, adjust the control to higher (colder) and higher settings, your reading should then change to zero, indicating that you have continuity.

- If your control fails either of the tests above, you will need a replacement cold control & temperature control.",https://www.partselect.com/Repair/Refrigerator/Will-Not-Start/#ColdControlAnd
refrigerator,Will not start,Electronic Control Board,"Some newer refrigerators are controlled by an Electronic Control Board that monitors temperatures and controls the compressor, fans and defrost system. If your refrigerator will not start, the control board could be at fault. Electronic controls are complex and expensive. You should first verify that there is no power being supplied to the compressor, that you have incoming power to the control board and that the external controls are functioning properly before condemning the electronic control.

How to inspect your refrigerator’s electronic control board:

- Ensure that you have disconnected your appliance from the power before beginning as you will be handling electrical components.

- Open your refrigerator door to locate and remove the electronic control board from your appliance. It will be located inside the control box, which is usually found attached to the top or side of the fridge.

- Look on the control board for signs of arcing, burnt connections, damaged foil, wear, or any other damage.

- If you find any of the above, you need a replacement electronic control board.",https://www.partselect.com/Repair/Refrigerator/Will-Not-Start/#ElectronicControl
refrigerator,Ice maker not making ice,Water Fill Tubes,"Inspect the ice maker mold to see if there are ice cubes present. If there are no cubes or very small cubes, then you should look for issues with the water fill system.

How to inspect your refrigerator’s water fill tubes:

- Before beginning, disconnect both the power and water source from your refrigerator.

- At the back of the icemaker, inspect the fill tube and the fill cup area at the back of the ice maker to make sure that they are not frozen. If there is an ice buildup in that area, confirm no foreign objects have disrupted the flow of water into the fill cup.

- Inspect the outlet tubing from the fill valve to the ice maker fill tube for any signs of restrictions.

- If you find any issues while performing the checks above, you will need replacement water fill tubes.",https://www.partselect.com/Repair/Refrigerator/Not-Making-Ice/#WaterFill
refrigerator,Ice maker not making ice,Water Inlet Valve,"Some water inlet valves may have a screen to filter debris before it can enter the valve. If the screen is plugged, water flow will be restricted, and the result will be small or layered ice cubes. Remove and clean the screen if it is clogged. If dirt has gotten into the valve it may not shut off completely and will continuously drip water into the ice maker fill tube and will eventually freeze up. Low household water pressure or a restriction at the manual shut off valve will also cause the water inlet valve to not shut off completely and create this same condition. Self piercing saddle valves are the most common shut off valve to cause this problem as the hole that is pierced in the water line is often too small and will more easily become restricted.

How to check the water inlet valve in a refrigerator with a multi-meter:

- Disconnect your appliance from the power and water source before beginning.

- Remove the rear access panel and locate your water inlet valve, it is usually found near the bottom.

- Before removing the inlet valve, look for any signs of leaks or loose connectors in the valve inlet supply. If no issues are found, inspect the valve body for any cracks or damage. 

- Inspect the outlet tubing for any brittle tubing, abrasions, cracks, or any other damage.

- If you do not locate any leaks, disconnect the water inlet valve and remove it from the refrigerator to test it

- Set your multi-meter to the Rx1 setting and touch the terminals with the probes. You are testing for continuity and should receive a reading of 200 to 500 ohms.

- If you receive any other reading, you need a replacement water inlet valve.",https://www.partselect.com/Repair/Refrigerator/Not-Making-Ice/#WaterInlet
refrigerator,Ice maker not making ice,Ice & Water Filter,"If equipped, the Ice and Water filter in your refrigerator is responsible for removing any debris or contaminants from your water that may remain after local water treatment. Most filters contain and are made up of carbon and fabric filter. Over time, the filter may become restricted and reduce the water flow to the ice maker, causing a symptom of little or no ice. Most manufacturers recommend replacing the filter every 6 months, but local water conditions may require that you replace more frequently.

How to inspect your refrigerator’s ice and water filter:

- Determine when you last replaced your water filter. Replacement frequency varies by model and local water quality, but you should never go longer than 12 months without replacing your water filter.

- Locate your water filter. Location varies by model and brand, but it is often found inside the unit attached to the ceiling or back corner, behind the base grill, or in the water line leading to the fridge. If your filter is in the water line, you will need to turn off the water supply before removing the filter.

- Due to the variety of filters and placements we suggest you follow brand specific install instructions or refer to manufacturer guidelines. Before installing the new filter note the install date on the filter or on your calendar.

- If it has been longer than the manufacturer recommended guidelines, or you filter is damaged, you will need a replacement ice and water filter.",https://www.partselect.com/Repair/Refrigerator/Not-Making-Ice/#IceAndWater
refrigerator,Ice maker not making ice,Ice Maker Assembly & Replacement Ice Maker,"If there are no ice buildup issues or suspected problems with the water supply, then you may have a problem with the ice maker control. The most common type of ice maker used in modern refrigerators is the heat release ice maker. The testing procedure for the heat release ice maker involves a live voltage test, consequently it should only be performed by a qualified professional. However, the issue may also be related to the water fill system or the ice maker assembly.

How to inspect your refrigerator’s ice maker assembly:

- Begin by disconnecting the water source and unplugging your refrigerator.

- Open the freezer door in order to inspect the fill cup area and the fill tube itself for any signs of damage, wear, or freezing.

- Inspect the outlet tubing from the fill valve to the ice maker fill tube for any signs of restrictions.

- If there is an ice buildup in either area, confirm no foreign objects have disrupted the flow of water into the fill cup, and allow the freezer to defrost to see if that resolves the issue.

- If any issues are found while performing the checks above & defrosting the freezer did not solve the issue, you will need a replacement ice maker assembly. If nothing obvious has caused the ice buildup, then suspect the inlet valve or tubing.",https://www.partselect.com/Repair/Refrigerator/Not-Making-Ice/#IceMakerAssembly
refrigerator,Fridge too warm,Air Inlet Damper Or Baffle,"The air damper, baffle or diffuser is the device that balances the air flow from the evaporator fan housing. This normally is a mechanically controlled baffle or flapper that controls the amount of cold air entering the fresh food compartment. If the baffle is damaged or the linkage to the control knob is damaged, then you may not have enough cold air entering the fresh food compartment resulting in higher than normal temperatures.

How to inspect a refrigerator’s air inlet damper or baffle:

- Disconnect your refrigerator from the power source and open your refrigerator door to locate the damper or baffle. It will be found where the cold air enters the fresh food compartment.

- The housing that the baffle or damper is encased in is often made of plastic with a Styrofoam lining and may have a foam seal to prevent air leakage. Care should be used when inspecting the housing to avoid damage to the seal or the Styrofoam.

- Some refrigerator models use a temperature sensing bulb attached to this control that will automatically adjust the control for changes in the interior temperature. Make sure that the sensing bulb is in the correct position and is not damaged.

- Attempt to operate the control knob to verify that the linkage is intact and that it moves freely.

- If the damper/baffle is stuck in the closed or nearly closed position or does not move freely, then you need a replacement air inlet damper or baffle.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Too-Warm/#AirInletDamper
refrigerator,Not dispensing water,Ice & Water Filter,"If so equipped, the ice and water filter in your refrigerator is responsible for removing any debris or contaminants from your water that may remain after local water treatment. Most filters contain and are made up of carbon and a fabric filter. Over time the filter may become restricted and reduce or stop the water flow to the dispenser. Most manufacturers recommend replacing the filter every 6 months, but local water conditions may require that you replace more frequently.

How to inspect your refrigerator’s ice and water filter:

- Consider when you last changed your ice and water filter. How frequently you need to change your filter varies by model and local water conditions, but you should never exceed 12 months of use per filter.

- Find and remove your water filter. The exact location differs from model to model, but it is commonly located in the water line leading to the fridge, behind the base grill, or inside the unit attached to the rear corner or ceiling. If your filter is in the water line, you will need to disconnect the water supply before beginning.

- With the variety of locations and removal instructions, we recommend you follow brand specific directions, or refer to your owner’s manual for specific directions. Take note of the installation date on your calendar before installing the new filter.

- If your filter is damaged or clogged, or if you have exceeded the manufacturers’ recommended guidelines, you will need a replacement ice and water filter.",https://www.partselect.com/Repair/Refrigerator/Not-Dispensing-Water/#IceAndWater
refrigerator,Not dispensing water,Water Inlet Valve,"The water inlet valve is a solenoid-operated device that supplies water to the dispenser when activated. When water is selected at the dispenser control panel, line voltage is supplied to the solenoid of the water inlet valve to allow water to flow. Verify that you have adequate pressure at the inlet to the valve, that the inlet screen is not plugged and that there are no restrictions in the inlet or outlet tubing.

How to test your refrigerator’s water inlet valve with a multi-meter:

- After disconnecting the water supply and unplugging your refrigerator, remove the rear access panel and locate the water inlet valve. It is usually found near the bottom of the fridge.

- Begin by inspecting all the tubing, and their respective connections, for leaks, damage, wear, abrasions, or brittle tubing.

- If you do not locate the source of the leak in the above checks, remove the water inlet valve to test it.

- With a multi-meter in Rx1 mode, touch the terminals with the probes to test for continuity. A functional water inlet valve should put off a reading of 200 to 500 ohms.

- If you receive any other reading, you need a replacement water inlet valve.",https://www.partselect.com/Repair/Refrigerator/Not-Dispensing-Water/#WaterInlet
refrigerator,Not dispensing water,Water Dispenser Actuator,"The water dispenser actuator is the mechanical part that activates the dispenser micro switch. It is normally a plastic lever that pivots when depressed by your water glass, and it may be covered with a soft plastic pad. You can usually hear a click when the switch is contacted.

How to inspect a refrigerator water dispenser actuator:

- Unplug your appliance and turn off the water supply to the refrigerator.

- Remove the control panel cover and verify that the actuator contacts the dispenser switch properly and if not, check the actuator housing bracket, switch mounting bracket and the actuator pivot itself.

- If you find any issues, you may need a replacement water dispenser actuator. If the actuator is contacting the switch, you will need to check the switch or control board for the source of the problem.",https://www.partselect.com/Repair/Refrigerator/Not-Dispensing-Water/#WaterDispenser
refrigerator,Not dispensing water,Micro Switch,"The dispenser micro switch is a momentary contact switch that when actuated will supply power to the solenoid on the water inlet valve.

How to test a refrigerator micro switch with a multi-meter:

- Disconnect the refrigerator from the power source and turn off the water supply before beginning.

- Remove the control panel of your refrigerator to locate the switch. It will be found behind the pad or lever that is pressed to dispense water.

- After removing the switch, set your multi-meter to the Rx1 setting to test your switch for continuity. You should receive a reading of 200 to 500 ohms.

- If you receive any other reading, you need a replacement micro switch.",https://www.partselect.com/Repair/Refrigerator/Not-Dispensing-Water/#MicroSwitch
refrigerator,Not dispensing water,Dispenser Control Board,"Some models of refrigerators use an electronic control to supply power to the water inlet valve. If you have verified that the water inlet valve is not getting power and the actuator and switch are operating properly, then you may have a defective electronic control.

How to inspect a refrigerator’s dispenser control board:

- Begin by turning off the water supply and unplugging your refrigerator.

- The dispenser control board is usually located on the freezer door and it’s where you select all the settings for your refrigerator.

- Remove the frame holding the control board in place, using caution to not break or crack the frame as your remove it.

- Inspect the dispenser control board for any signs of damage, wear, burning, or shorted connections.

- If you find any of the above issues, you will need a replacement dispenser control board.",https://www.partselect.com/Repair/Refrigerator/Not-Dispensing-Water/#DispenserControl
refrigerator,Fridge and Freezer are too warm,Cold Control Or Temperature Control,"The cold control is a temperature-controlled switch that supplies power to the compressor and fan circuits in the refrigerator. If the compressor and fans are operating normally but not running often enough or long enough to maintain the correct temperatures in the fresh food and freezer sections, then the cold control may be defective or out of calibration. Normal fresh food temperatures are in the 38° Fahrenheit range with the control set to mid-point. Verify that the capillary tube or sensing bulb is not damaged or out of position and that the wire terminals are not loose or corroded.

How to test your fridge’s cold control & temperature control with a multi-meter:

- Unplug your refrigerator before beginning, then open your refrigerator door and locate the control. It will be located behind the temperature adjustment knob and is usually found in the fresh food section control panel.

- After removing the control from the appliance, turn the control to the warmest setting, set your multi-meter to the Rx1 setting and touch the probes to the terminals

- You are testing for continuity and you should receive a reading of infinity. With the probes still touching the terminals, adjust the control to higher (colder) and higher settings. Your reading should change to zero, indicating that you have continuity.

- If your control fails either of the tests above, you will need a replacement cold control & temperature control.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Freezer-Too-Warm/#ColdControlOr
refrigerator,Fridge and Freezer are too warm,Evaporator Fan Motor,"The evaporator fan motor is used to circulate the cold air throughout the refrigerator when the compressor is running. If the fan is defective, then temperatures in the freezer section will rise slowly and temperatures in the fresh food section will rise more rapidly and the compressor will run longer and more frequently than normal. With the compressor running you should also hear the evaporator fan running at the same time, as well as the condenser fan which is located next to the compressor.

How to inspect a refrigerator evaporator fan motor:

- Disconnect your refrigerator from the power source and remove the evaporator fan cover, which will be found in the freezer compartment.

- The motor shaft should turn freely with minimal resistance, attempt to turn the shaft manually to check for any resistance.

- If there is a significant amount of ice on the motor, defrost your freezer and see if that resolves the issue. You should also inspect the motor for any signs of wear or damage.

- If you cannot turn it easily, or if it is noticeably worn, you need a replacement evaporator fan motor.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Freezer-Too-Warm/#EvaporatorFan
