ps_number,story_id,title,instruction,author,difficulty,repair_time,helpful_count,vote_count
PS16556076,96813,Water filter needed replacement,I mistakenly ordered the wrong part number online and the filter was too big. I called Part Select and the gentleman knew the correct part number and sent it. I also received directions for returning the incorrect part.,"Louise from PLYMOUTH, MI",Very Easy,Less than 15 mins,2,10
PS12075548,91865,"This Ice maker tray flexes to release the cubes, and the rectangular slot in the tray splits apart not allowing the tray to flex and release the cubes. - its a weak design.","I reinforced the ice cube tray rectangular slot with a thin .080"" plastic disc cut to fit the ice tray - you need to remove the cube tray from the round holder, add the reinforcement around the plastic slot then reinstall. Also, I polished the cube trays with Carnuba wax (food safe) to better release the ice.

All is well now,","Carl from Hampton, NH",Easy,15 - 30 mins,12,14
PS9492801,97436,The gasket seals on the two refrigerator doors had deteriorated and the single freezer drawer gasket had begun to deteriorate.,"- Prior to ordering the gaskets, I went online to make sure the installation was something I could readily do—it is really easy.
- When I received the gaskets, I laid them out on a flat surface, but as per the product description, they had become distorted in the shipping container. At first I thought one was severely distorted, but","James from NICHOLASVILLE, KY",Really Easy,1- 2 hours,6,8
PS11701542,98691,Filter indicator light red,"Found the filter door in toe kick under freezer door. Opening the door ejected the old filter. Direction indicator arrows were found on inside of filter door, rotation of filter to match arrows important. Pushed new filter in to stop, closing door completed insertion of new filter.","Scott from ONEIDA, NY",Easy,Less than 15 mins,4,7
PS11701542,98566,Reset rater filter,Hold both water filter reset touch sensors down together. This will reset the water sensor indicator.,"Andre from GRAND RAPIDS, MI",Very Easy,Less than 15 mins,6,7
PS11701542,97750,Water ?? filter needed to be replaced,"Simple, turn and pull to remove. Push and turn to install.","Victor T from CORDOVA, TN",Very Easy,Less than 15 mins,9,13
PS11701542,97266,When the filter was removed the housing leaked.,I would suggest loosening the supply lines attached inside the rear. This will give you plenty of slack to disconnect the lines from the housing.,"Jeremy from SPRINGFIELD, TN",Easy,30 - 60 mins,7,11
PS11701542,97188,ice container bin cracked and had a hole in it.,Took it out of the box. Emptied the ice out of the broken bin. Slid the new one in and all done.,"Joseph from MESQUITE, NV",Very Easy,Less than 15 mins,5,7
PS11701542,96819,The refrigerator display said I need to replace the filter.,"When the filter arrived, I removed it from the package.
Upon reading the instructions, I removed the old filter.
When I removed the old filter I NOTICED HOW IT CAME
OUT SO THAT I COULD HOLD THE NEW FILTER IN
THE SAME POSITION AND REPLACED IT WITH THE
NEW IN THE SAME POSITION. When I closed the cover
door, I w","ronald from SEVERNA PARK, MD",Really Easy,Less than 15 mins,12,19
PS11701542,96499,Replacing the water filter.,Lift up on the water filter door to open. Pull out the old filter while noticing the arrow pointing up on the filter. Pull off the green caps on the new filter and pop the new filter in with the arrow pointing up as on the old filter. Push in until the filter snaps into place. Close the filter door. Push reset on the water filter button,"Sandra from Altoona, AL",Really Easy,Less than 15 mins,9,14
PS11701542,96070,Replaced filter for ice maker,I removed the filter from the box I took the old filter out and inserted the new air filter put the cover down and that was it.,"DANIEL from COLUMBIA, SC",Really Easy,Less than 15 mins,5,10
PS11701542,94731,old filter was overdue for replacement,"ordered new filter, removed old filter from fridge, and installed new one","gene from COTTONDALE, FL",Very Easy,Less than 15 mins,4,5
PS11701542,93577,Changed the filter,Took the old one out and put the new one in,"George from Port Orchard, WA",Very Easy,Less than 15 mins,3,7
PS11722130,91274,crank on Ice feed bent and can lose from back .,easy to replace.,"Eva from YUCAIPA, CA",Really Easy,30 - 60 mins,2,3
PS11722130,89829,Periodic change of filters,Removed existing filters and installed new ones. Simple switch out of old to new!,"Edward from ASHLAND, VA",Very Easy,Less than 15 mins,3,6
PS11722130,84874,needed to replace water filter,"unscrewed old filter, screwed in new....good to go!","Barbara from ST CLR SHORES, MI",Really Easy,30 - 60 mins,4,9
PS11722130,61059,Ice machine was not making ice,"Changed the ice and Water filter, works great...","William from Grafton, MA",Really Easy,Less than 15 mins,2,3
PS11722130,49055,ice maker not working,replaced ice and water filter,"Myrna from Port Carbon, PA",Really Easy,Less than 15 mins,2,6
PS11722130,41570,The filter was clogged.,Replaced filter and the water started to flow like the Nile River and the ice maker came back to life.,"Debbie from Bluffton, SC",Easy,Less than 15 mins,8,14
PS11722130,41386,Bottom Drawer pin was broken,Replaced the left side endcap for the drawer. Three screws and it popped out. Easy process once I actually looked at it. Drawer cover now works as designed. Replaced inline water filter. Not problem there.,"john from Ramona, CA",Easy,Less than 15 mins,6,9
PS11722130,41158,entire freezer compartment was cascaded in ice and icemaker had been noisy,"Turn off power first or unplug. Get a light so you can see. Read these directions through one time to reduce the learning curve. Remove ice cube bin. 1/4"" nut-driver will do most of the work. Remove flexible water fill tube from back of ice cube maker, move to the side, out of the way. Remove screw from ""L"" shaped bracket from the bottom","michael from boca raton, FL",Easy,15 - 30 mins,3,8
PS11722130,40265,Broken hinge on left side of meat drawer top,"Repair was simple and just as described by several others on this site! From finding the part, ordering, quick shipping and instructions, PartsSelect made this job a breeze to complete.","Dan from Atlanta, GA",Easy,15 - 30 mins,4,7
PS11722130,39433,Replacing filter,"Really easy, simple instructions, and it was on my doorstep 3 days after I ordered. Much simpler than dealing with the appliance store, where I'd have to drive to the store, order the filter, wait 7-10 days, and return to pick it up. Ughh! Internet is the way to go!","Eric from Noank, CT",Really Easy,Less than 15 mins,4,9
PS2580853,99091,"10 years old, bifold top doors, right side seal torn, causing the refridge to not seal and lose cooling capability from leakage",WITH PATIENCE! removal of door and old seal no problem! Followed the video- very clear. The part was difficult. Ornery plastic that needed to be softened and clipped (in comes the hairdryer and vaseline)- First corner great! the other 3 -patience. we set the door on a folding table with a towel on top to prevent scratches and ability to,"susan from herndon, VA",Difficult,More than 2 hours,1,1
PS2580853,97801,air filter needed replacement,pulled the top shelf and poped open the door and replaced the filter,"David from Dublin, NH",Very Easy,Less than 15 mins,5,6
PS2580853,94990,Filters needed changing,Took the old ones out and replaced with the new ones.,"L. from NEW ULM, TX",Very Easy,Less than 15 mins,4,5
PS2580853,94618,The lights were out in the part of the refrigerator and freezer section of refrigerator.,I ussed meter to check the voltage levels and they were fine. I refrence a you video on the refrigerator and foud out that the lights are setup in series like christmas tree lights. If the freezer light is out it will affect the rest of the lights in the refrigerator. I removed the freezer light module and test the light by swapping it wi,"Carlos from CHARLOTTE, NC",A Bit Difficult,1- 2 hours,2,2
PS2580853,93237,linking water out of underneath of bottom freezer,took back off refrigerator read directions that was sent with parts and replaced the wore out drain nozzle . Even this 70 year old woman could do this her self and changed air filter in refrigerator also,"Linda from GREENCASTLE, PA",Really Easy,15 - 30 mins,5,6
PS2580853,92418,"Remove existing filters, install new filters","Opened filter housing, yanked out old filter, screwed in new filter - one turn.
For the air filter, opened housing. Lifted out old filter, dropped in new, closed housing.","Carl from LAS VEGAS, NV",Very Easy,Less than 15 mins,6,8
PS2580853,90383,Filters needed replaced,I ordered the filters that were needed and received the wrong items. After reordering and then receiving the proper items the installation went very well.,"Steven from CEDARVILLE, AR",Very Easy,Less than 15 mins,2,4
PS2580853,90344,Changed air filter,"Very simple, easy, and quick! Anybody can do it!!","Tom from LONGMONT, CO",Very Easy,Less than 15 mins,6,7
PS2580853,89829,Periodic change of filters,Removed existing filters and installed new ones. Simple switch out of old to new!,"Edward from ASHLAND, VA",Very Easy,Less than 15 mins,3,6
PS2580853,87950,Dishwaher door not opening and Refrigerator air filter.,"I followed instructions from the video link that was provided with the parts order confirmation.This repair was not difficult .

The refrigerator air filter was very easy to replace. There was also a new indicator (to remind me when to replace the filter again) that came with the filter.","Rick from Wilmington, DE",Really Easy,30 - 60 mins,3,5
PS11757236,99067,The plastic door bin broke and fell off. There are 2 different sizes and I needed the larger bin.,The bin was very easy to install. Just make sure you are putting it back in the same spot as there is a small bin and a larger bin on the door and they need to go into the right place. The bin just pops back in easily no tools required. Was a perfect fit.,"Kendra from Grandy, NC",Really Easy,Less than 15 mins,2,3
PS11757236,95729,Add shelves,"New fridge does not supply all shelves. Bought two glass shelves for freezer, and two door bins for fridge from PartSelect at good price. These OEM parts are easy to install. Just need to ensure you get the right part since the size for the top shelf and bottom shelf are different.","CAROLYN from LOS ALTOS HLS, CA",Really Easy,Less than 15 mins,2,2
PS11757236,93774,The bin was broken,"Lifted old bin up and pulled away from door. Took new bin, placed in door and set down in place. Replaced old broken bin with new bin. Added additional bin for more storage.","Jordan from SPRINGFIELD, MO",Very Easy,Less than 15 mins,6,6
PS11757236,93529,Maximize door storage,"Unpack, wash in warm soapy water, slide into pkace","kenneth from YORBA LINDA, CA",Very Easy,Less than 15 mins,2,2
PS11757236,90789,Needed more door bins,Pop in and adjust. Botta boom Botta bing. ????,"Tom from NAPERVILLE, IL",Really Easy,Less than 15 mins,5,6
PS2121513,98896,water was leaking from the ice machine connection at the rear of the refrigerator.,Remove the food from the refrigerator.Turn off the water and unplug the refrigerator. Remove the freezer door to permit access (It just lifts up and out) Remove the steel cover at the water connection with a nut driver. Remove the current ice maker by disconnecting the electric connection by pinching the tabs & Remove the 3 nuts holding,"Kenneth F from ALLISON PARK, PA",A Bit Difficult,More than 2 hours,2,3
PS2121513,93898,Ice Maker was overflowing with water,"I could not determine if the solenoid water inlet valve or the ice maker unit was bad, so I replaced both.
In this model of the refrigerator, the freezer is a drawer on the bottom, so this makes access to the ice maker mounting a little tricky. The need to contort to reach into the back made this take longer and was more uncomfort","William from W LAFAYETTE, IN",A Bit Difficult,1- 2 hours,7,8
PS2121513,91769,"ice maker dripped water into ice bin, freeezing into large block of ice,","turn off water and unplug fridge. remove ice maker bottom mounting screw. just loosen the 2 top mounting screws. unplug wire harness from back of fridge. remove old icemaker from freezer compartment. once removed, salvage square endcover and reinstall on new maker. unfasten wire harness from old maker and reinsatll on new one. reinsert th","charles from PHOENIX, AZ",Easy,30 - 60 mins,6,6
