ps_number,review_id,rating,title,content,author,date,verified_purchase
PS16556076,15ce4503d6f80231,3,Works perfectly but expensive!!,"Bosch refrigerator water filter works as it should, thankfully. The cost is vey high however. I’m exploring external 3 and 5 year filters that will be economically and environmentally sustainable.",Harry K,"August 31, 2023",True
PS12075548,93e47d190f159f3c,5,New ice making tray,The automatic ice making tray cracked on our freezer. I was able to get a new one quickly. Install was easy. Ice restarted once I turned the ice maker back on.,Robert T,"April 21, 2024",True
PS8733251,ca705a5f3532c992,5,The Right Patt,"Sales staff was very helpful, made sure I got the right part. I'll do business with you again.",Michael H,"February 1, 2018",True
PS12741969,969cceed5b183f46,1,Door stop for fridge,Part came but no instructions for installation,Gary P,"May 22, 2022",True
PS8733395,97e00ef79380f39c,5,great original replacement part,Came quickly and well packed,Lea T,"March 3, 2018",True
PS8733395,1e6539a0bbfdf0de,5,Trays fit perfectly,"The plastic parts were packaged extremely well, chart showed me correct part # to order, and all went extremely well!!",Doug G,"July 31, 2019",True
PS8733388,39ddd0f426970a6a,4,side trays,perfect took a little longer than i had hoped to get here,Arthur H,"July 22, 2021",True
PS11771017,4a44f114d0c06998,1,didnt fit,not the one I needed,Scott S,"June 24, 2018",True
PS11701542,681566293c5c7708,5,easy repair,i got it in 3 or 4 days,Nicholas M,"June 16, 2021",True
PS11701542,24abbb5c9ba7977b,5,works,works good but water has funny taste,William R P,"May 30, 2023",True
PS11701542,f13d883e21a49721,5,Water Filter,The water filter fit my frig. I installed and the water is ready to drink. Thanks,Joan K,"January 15, 2020",True
PS11701542,fa580b53e078be1a,5,All’s well.,The part arrived promptly and installation was easy despite an somewhat stiff door. All working well.,Selma T,"January 6, 2023",True
PS11701542,e122915b0306e7df,5,Easy Replacement,The water & ice filter was was an exact match & fit. Very easy to install.,Eduardo G,"April 11, 2020",True
PS11701542,86e6dbbf9d9dec11,5,Water filter,Water filter replacement went very well.,William B,"September 10, 2019",True
PS11701542,6e6de94a2e311b62,5,Exactly what I needed,The part arrived promptly and the directions were easy to follow. I needed to call customer service to ask a question before ordering. The representative was very professional and helpful.,Jeanne C,"April 14, 2020",True
PS11701542,a884b292471de4bd,5,New Water Filter,Exact replacement. Arrived fast and simple to change.,Harold C,"February 25, 2018",True
PS11701542,97f317f7743b3aae,5,tthe part was easy to replace,all the parts were exactly as the parts I needed thank you,Gilbert H,"May 10, 2019",True
PS11701542,8f9425fdc5bcc71f,5,Easy repair,The entire process went without a hitch. Found the specific part I needed easily. Shipping was earlier than expected.,Fred S,"February 28, 2018",True
PS11722130,511dc48f68496c8a,5,Water Filter worked,"The water filter came long before I needed it. By the time I needed it, I installed it. Once installed, it has worked great!",Elaine G,"December 28, 2021",True
PS11722130,26f9826d9bb6b00f,5,Easy to install. Good instructions,Shipped and received as promised. Easy to install,Richard M,"September 9, 2021",True
PS11722130,cfdb67ec11400835,5,Easy to install. Perfect fit,Delighted at how quickly our order was processed and the product sent.,Anna T,"June 17, 2021",True
PS11722130,2c420f9acbb570a2,5,water filter,the filter was perfect and super easy to install. Will order again when it's time.,Laurence L,"November 6, 2019",True
PS11722130,f2c369297f1b6b15,5,Easy repair,My part came in and was easy to install everything working good,David C,"January 30, 2018",True
PS11722130,86a357d2caa18ab0,5,Works great,Great cond,Ralph W,"February 2, 2018",True
PS11722130,e46f21b2e5436a43,5,Perfect part,Easy to order the perfect filter to replace in fridge.,Rachel W,"February 11, 2018",True
PS11722130,68858fbfff730f2b,5,Water filter,Part arrived quickly. Filter.was easy to install,Sharon C,"February 7, 2018",True
PS11722130,aeacef759f25970d,5,Easy Convenient Fast,"Thank for this service, our refrigerator water filter comes right on time, such a time saver and so easy!",Gary K,"April 12, 2020",True
PS11722130,d90aaa6709be6cab,5,water filter replacement,"Perfect filter for my refrigerator, delivered on time, and keeps my water and ice fresh and clean.",ROBERT C,"April 11, 2020",True
PS2580853,98cc0439d8e41911,5,Easy to Install,"The air filter was easy to install, as one would expect. It arrived shortly after I ordered.",Glenn R,"May 17, 2018",True
PS2580853,407851b438f57864,5,Replacement,Just what I ordered,Cynthia P,"June 20, 2018",True
PS2580853,b63b0b6d86658a4a,5,Easy repair--went as I hoped!,"The part came quickly, and I installed it easily in a few minutes!",JANET F,"July 21, 2020",True
PS2580853,d344006888b8da47,5,quick delivery,"The filter was received in just a few days, and as easy to install.",Orville B,"June 23, 2018",True
PS2580853,2a2a0f8633f59564,5,Very easy ordering and repair,"Very simple. Pop out the old one, pop in the new one.",Dave W,"August 8, 2018",True
PS2580853,e8aab2601310a936,5,everything is as expected,shipment was very fast and everything is working fine,Merle H,"August 8, 2018",True
PS2580853,7a3926cdb9b87d89,5,Great part,East to install,Yvonne H,"June 1, 2021",True
PS2580853,30634937d59f2d9d,5,As advertised,This filter is the same as in the box stores. Much more convenient to order online,Mary B,"May 29, 2020",True
PS2580853,4b4d37a075b26c89,5,easy air filter replacement,The part was in great condition and easy to install.,Linda B,"August 28, 2018",True
PS2580853,55debfb41d99c421,5,Fresh flow air filter,Super easy to install and keeps produce fresher,Holly W,"January 19, 2019",True
PS11757236,6174d3ece874527d,5,Fridge Door Bin,"Received item quickly in perfect shape & very well packed for protection. Exactly what I ordered...a ""Clear Gallon Door Bin"", fits perfect. Zero issues ordering/shipping & receiving. Thanks!",Lee K,"October 5, 2024",True
PS11757236,e9531dd362f54156,5,Perfect fit,"Nice fit, easy install. Good quality.",Brad W,"November 18, 2024",True
PS11757236,5a29556f1f1afdc5,5,"Perfect fit, easy drop in fridge door bin.",The original Whirlpool refrigerator door bib cracked as it was installed. The replacement part arrived in two days and was a perfect fit. Back to a brand new fridge in seconds.,Thomas C,"October 27, 2021",True
PS11757236,e2a23d726d64ba8d,5,Perfect fit,The door bin for my refrigerator fit perfect,Susan E,"June 8, 2021",True
PS11757236,239c1aaebff2a072,5,Fit fire e,On time and as expected,Mary S,"July 24, 2018",True
PS11757236,44531efd23a43da8,5,Fast delivery and fit perfectly. Thanks.,Quick and easy selection process. Fast delivery and right part. Thanks so much.,Elizabeth P,"April 5, 2020",True
PS11757236,cb20659285ffe867,5,Great fit!,My drawer arrived quickly and in great condition. It looked exactly like the drawer I replaced that had broken. Thanks for the great service!,Patricia T,"March 31, 2021",True
PS11757236,d1b67924f8497379,5,EZ Rplacement,"Ordered gallon door bin. Effortless transaction, submitted model#, part display came up, ordered it and it was here in a couple of days, exact fit. The only downside is the replacement bin doesn’t come in white, only in clear plastic. Just about the easiest mail ordered part replacement I’ve ever used.",William L,"January 30, 2020",True
PS11757236,5a30a290cbf82407,5,Plastic storage bin,Nice replacement part.ultra expensive.,Terrence R,"June 9, 2023",True
PS11757236,e152dc3ed8d050b4,5,Part needed,When I needed a clear plastic door bid it was very easy to get the right one because of the parts diagram provided. Shopping for the parts is easy.,Sandy K,"June 30, 2019",True
PS2121513,d49d5288aa263a1f,5,Easy repair,"Part fit, and on time delivery",WILLIAM B,"August 18, 2024",True
PS2121513,34c35dc3190f5f29,5,replace icemaker,received the part from partsselect.com quickly installed the part and it works perfectly,Martin R,"September 22, 2024",True
PS2121513,adae575201c100bb,5,Worked great!,I ordered this icemaker kit to replace my leaking one. It was very simple to change thanks to the videos that detail the process. It only took me about 20 minutes. Highly recommend!!,Martin K,"October 11, 2024",True
PS2121513,e1ae20cbb355772b,5,THIS IS DEFANTLY A CLICK AND PLAY !,This was great. NO Problem. Just three screws and disconnect the wiring harness. Closed the door and 4 hours later a full ice bin.,Adolph W,"November 10, 2024",True
